timestamp,week,AUC_PR,AUC_ROC,F1,Precision,Recall,Brier,theta_t,warn_count,TP,FP
2025-10-29 20:46:26,0,0.47575478399590054,0.42798815997566636,0.0,0.0,0.0,0.461758316595152,0.06,0,0,0
2025-10-29 20:46:27,1,0.4615764493249529,0.41277181858754364,0.0,0.0,0.0,0.46176595557331096,0.06,0,0,0
2025-10-29 20:46:27,2,0.4516401586472022,0.403463098485212,0.0,0.0,0.0,0.46177142753228706,0.06,0,0,0
2025-10-29 20:46:27,3,0.4388622799661906,0.38940108931120737,0.0,0.0,0.0,0.4617838302585805,0.06,0,0,0
2025-10-29 20:46:27,4,0.5073706443852247,0.4489818769502908,0.0,0.0,0.0,0.4617544607032648,0.06,0,0,0
2025-10-29 20:46:27,5,0.5476426967189657,0.5090693328070698,0.0,0.0,0.0,0.46169924067252216,0.06,0,0,0
2025-10-29 20:46:27,6,0.5830217330561622,0.561089306680982,0.0,0.0,0.0,0.46163653879883515,0.06,0,0,0
2025-10-29 20:46:28,7,0.5989727067921263,0.5812689597453657,0.0,0.0,0.0,0.46161174697143403,0.06,0,0,0
2025-10-29 20:46:28,8,0.6041871391599412,0.5886473616362934,0.0,0.0,0.0,0.46160219154654697,0.06,0,0,0
2025-10-29 20:46:28,9,0.6511747828855324,0.6500738247560525,0.004536616979909268,0.7777777777777778,0.0022749431264218393,0.4613619915849274,0.06,9,7,2
2025-10-29 20:46:28,10,0.657161921215831,0.6593021455800652,0.007119741100323625,0.8461538461538461,0.0035749106272343193,0.46132224368443275,0.06,13,11,2
2025-10-29 20:46:28,11,0.6897920693149333,0.6999531183377797,0.07200496585971446,0.8,0.03769905752356191,0.46090442484721494,0.06,145,116,29
2025-10-29 20:46:29,12,0.6983627409205195,0.7107404269976816,0.11138014527845036,0.8105726872246696,0.059798505037374064,0.4606988975028774,0.06,227,184,43
2025-10-29 20:46:29,13,0.711259296550355,0.7282653196553094,0.17555040556199306,0.808,0.09847253818654533,0.46044611796817736,0.06,375,303,72
2025-10-29 20:46:29,14,0.7135273437588615,0.731818390647476,0.1864748201438849,0.8140703517587939,0.10529736756581086,0.46041559727669895,0.06,398,324,74
2025-10-29 20:46:29,15,0.730761453683142,0.7518022791073679,0.25987469354399345,0.803030303030303,0.1550211244718882,0.4600316115980335,0.06,594,477,117
2025-10-29 20:46:29,16,0.7401852911178264,0.7631516471837507,0.29615894039735097,0.8008595988538681,0.18167045823854402,0.4597992825305047,0.06,698,559,139
2025-10-29 20:46:29,17,0.7483641806446664,0.7718018966308572,0.34742740703005603,0.8032979976442874,0.2216444588885278,0.45951289007871204,0.06,849,682,167
2025-10-29 20:46:30,18,0.7489154614464446,0.7727394732958973,0.3530306872939386,0.8036951501154734,0.22619434514137146,0.4594850842348063,0.06,866,696,170
2025-10-29 20:46:30,19,0.7550338584973282,0.7795748264371385,0.3890532544378698,0.8059244126659857,0.25641858953526164,0.4592794435278218,0.06,979,789,190
