timestamp,week,AUC_PR,AUC_ROC,F1,Precision,Recall,Brier,theta_t,warn_count,TP,FP
2025-10-29 20:46:18,0,0.47575478399590054,0.42798815997566636,0.6818081099047197,0.5172297865187426,1.0,0.461758316595152,0.0,5949,3077,2872
2025-10-29 20:46:18,1,0.4615764493249529,0.41277181858754364,0.6818081099047197,0.5172297865187426,1.0,0.46176595557331096,0.0,5949,3077,2872
2025-10-29 20:46:19,2,0.4516401586472022,0.403463098485212,0.6818081099047197,0.5172297865187426,1.0,0.46177142753228706,0.0,5949,3077,2872
2025-10-29 20:46:19,3,0.4388622799661906,0.38940108931120737,0.6818081099047197,0.5172297865187426,1.0,0.4617838302585805,0.0,5949,3077,2872
2025-10-29 20:46:19,4,0.5073706443852247,0.4489818769502908,0.6818081099047197,0.5172297865187426,1.0,0.4617544607032648,0.0,5949,3077,2872
2025-10-29 20:46:19,5,0.5476426967189657,0.5090693328070698,0.6818081099047197,0.5172297865187426,1.0,0.46169924067252216,0.0,5949,3077,2872
2025-10-29 20:46:20,6,0.5830217330561622,0.561089306680982,0.6818081099047197,0.5172297865187426,1.0,0.46163653879883515,0.0,5949,3077,2872
2025-10-29 20:46:20,7,0.5989727067921263,0.5812689597453657,0.6818081099047197,0.5172297865187426,1.0,0.46161174697143403,0.0,5949,3077,2872
2025-10-29 20:46:20,8,0.6041871391599412,0.5886473616362934,0.6818081099047197,0.5172297865187426,1.0,0.46160219154654697,0.0,5949,3077,2872
2025-10-29 20:46:20,9,0.6511747828855324,0.6500738247560525,0.6818081099047197,0.5172297865187426,1.0,0.4613619915849274,0.0,5949,3077,2872
2025-10-29 20:46:21,10,0.657161921215831,0.6593021455800652,0.6818081099047197,0.5172297865187426,1.0,0.46132224368443275,0.0,5949,3077,2872
2025-10-29 20:46:21,11,0.6897920693149333,0.6999531183377797,0.6818081099047197,0.5172297865187426,1.0,0.46090442484721494,0.0,5949,3077,2872
2025-10-29 20:46:21,12,0.6983627409205195,0.7107404269976816,0.6818081099047197,0.5172297865187426,1.0,0.4606988975028774,0.0,5949,3077,2872
2025-10-29 20:46:21,13,0.711259296550355,0.7282653196553094,0.6818081099047197,0.5172297865187426,1.0,0.46044611796817736,0.0,5949,3077,2872
2025-10-29 20:46:22,14,0.7135273437588615,0.731818390647476,0.6818081099047197,0.5172297865187426,1.0,0.46041559727669895,0.0,5949,3077,2872
2025-10-29 20:46:22,15,0.730761453683142,0.7518022791073679,0.6818081099047197,0.5172297865187426,1.0,0.4600316115980335,0.0,5949,3077,2872
2025-10-29 20:46:22,16,0.7401852911178264,0.7631516471837507,0.6818081099047197,0.5172297865187426,1.0,0.4597992825305047,0.0,5949,3077,2872
2025-10-29 20:46:22,17,0.7483641806446664,0.7718018966308572,0.6818081099047197,0.5172297865187426,1.0,0.45951289007871204,0.0,5949,3077,2872
2025-10-29 20:46:23,18,0.7489154614464446,0.7727394732958973,0.6818081099047197,0.5172297865187426,1.0,0.4594850842348063,0.0,5949,3077,2872
2025-10-29 20:46:23,19,0.7550338584973282,0.7795748264371385,0.6818081099047197,0.5172297865187426,1.0,0.4592794435278218,0.0,5949,3077,2872
